Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mario Chalmers,Denver Nuggets,W,11/3/2012,34:02,3,7,0.429,0,2,0,3,4,0.75,0,3,3,5,3,1,2,2,9,12
Dwyane Wade,Denver Nuggets,W,11/3/2012,33:48,5,12,0.417,0,1,0,4,6,0.667,1,2,3,4,2,4,1,1,14,7
Shane Battier,Denver Nuggets,W,11/3/2012,21:01,2,5,0.4,2,5,0.4,2,2,1,1,1,2,1,0,0,0,2,8,0
LeBron James,Phoenix Suns,W,11/5/2012,30:11,10,17,0.588,2,3,0.667,1,3,0.333,3,8,11,1,0,0,3,2,23,25
Dwyane Wade,Phoenix Suns,W,11/5/2012,28:21,9,14,0.643,1,1,1,3,3,1,0,3,3,6,2,0,2,3,22,23
Mario Chalmers,Phoenix Suns,W,11/5/2012,28:07,3,5,0.6,3,3,1,0,0,,0,4,4,11,3,1,1,2,9,24
Chris Bosh,Phoenix Suns,W,11/5/2012,25:11,7,10,0.7,0,1,0,4,4,1,0,4,4,2,0,2,0,2,18,19
Shane Battier,Phoenix Suns,W,11/5/2012,23:35,2,6,0.333,1,4,0.25,0,0,,0,5,5,2,1,1,1,1,5,24
Dwyane Wade,Brooklyn Nets,W,11/7/2012,32:04,10,14,0.714,0,1,0,2,2,1,1,1,2,5,1,2,1,2,22,24
LeBron James,Brooklyn Nets,W,11/7/2012,29:59,7,12,0.583,2,3,0.667,4,4,1,4,8,12,8,1,0,2,1,20,18
Mario Chalmers,Brooklyn Nets,W,11/7/2012,26:38,3,7,0.429,1,2,0.5,1,2,0.5,1,5,6,5,1,0,4,2,8,5
Shane Battier,Brooklyn Nets,W,11/7/2012,24:47,3,9,0.333,3,8,0.375,0,0,,0,2,2,0,0,0,0,2,9,13
Chris Bosh,Brooklyn Nets,W,11/7/2012,24:00,2,10,0.2,0,1,0,4,6,0.667,2,2,4,1,3,1,0,2,8,13
Chris Bosh,Atlanta Hawks,W,11/9/2012,37:42,7,13,0.538,0,2,0,10,10,1,3,2,5,2,3,1,2,2,24,7
LeBron James,Atlanta Hawks,W,11/9/2012,35:40,10,17,0.588,0,2,0,1,3,0.333,2,9,11,9,1,0,2,2,21,0
Mike Miller,Atlanta Hawks,W,11/9/2012,30:47,1,4,0.25,1,4,0.25,1,1,1,2,4,6,2,0,0,1,2,4,4
Mario Chalmers,Atlanta Hawks,W,11/9/2012,26:39,5,10,0.5,2,4,0.5,0,0,,0,1,1,3,1,0,0,2,12,0
Shane Battier,Atlanta Hawks,W,11/9/2012,20:20,1,4,0.25,0,2,0,0,0,,0,0,0,0,1,1,1,4,2,5
LeBron James,Memphis Grizzlies,L,11/11/2012,35:43,10,19,0.526,0,1,0,0,4,0,3,7,10,6,2,1,2,2,20,-18
Dwyane Wade,Memphis Grizzlies,L,11/11/2012,33:21,3,15,0.2,0,1,0,2,2,1,4,4,8,3,1,0,1,0,8,-21
Chris Bosh,Memphis Grizzlies,L,11/11/2012,32:59,8,12,0.667,0,0,,6,8,0.75,3,5,8,0,0,0,2,0,22,-20
Mario Chalmers,Memphis Grizzlies,L,11/11/2012,23:12,2,9,0.222,0,2,0,1,3,0.333,0,2,2,3,1,0,0,2,5,-8
Shane Battier,Memphis Grizzlies,L,11/11/2012,16:01,1,3,0.333,1,3,0.333,2,4,0.5,2,0,2,0,0,1,2,4,5,-11
LeBron James,Houston Rockets,W,11/12/2012,39:55,14,26,0.538,5,8,0.625,5,8,0.625,1,9,10,6,0,0,0,1,38,8
Dwyane Wade,Houston Rockets,W,11/12/2012,39:49,8,18,0.444,0,1,0,3,7,0.429,1,5,6,7,1,0,2,2,19,13
Shane Battier,Houston Rockets,W,11/12/2012,34:37,2,3,0.667,2,3,0.667,0,0,,0,0,0,2,1,3,0,4,6,10
Chris Bosh,Houston Rockets,W,11/12/2012,33:45,10,14,0.714,0,0,,4,4,1,4,6,10,3,0,1,3,3,24,11
Mario Chalmers,Houston Rockets,W,11/12/2012,27:00,1,5,0.2,1,3,0.333,1,1,1,0,6,6,5,1,0,2,4,4,2
LeBron James,Los Angeles Clippers,L,11/14/2012,41:13,12,23,0.522,0,3,0,6,9,0.667,0,5,5,7,1,2,4,3,30,-15
Chris Bosh,Los Angeles Clippers,L,11/14/2012,29:49,3,13,0.231,0,0,,5,5,1,4,5,9,1,0,3,0,4,11,-8
Dwyane Wade,Los Angeles Clippers,L,11/14/2012,29:07,2,10,0.2,0,1,0,2,2,1,1,2,3,6,1,0,5,1,6,-15
Mario Chalmers,Los Angeles Clippers,L,11/14/2012,28:25,2,5,0.4,1,4,0.25,0,0,,0,2,2,3,2,0,3,5,5,-7
Shane Battier,Los Angeles Clippers,L,11/14/2012,25:31,3,6,0.5,3,6,0.5,0,0,,0,3,3,0,0,1,1,1,9,-9
LeBron James,Denver Nuggets,W,11/15/2012,41:57,11,23,0.478,0,1,0,5,6,0.833,1,6,7,12,1,3,4,0,27,9
Chris Bosh,Denver Nuggets,W,11/15/2012,35:41,5,10,0.5,0,1,0,4,4,1,1,2,3,0,0,1,2,3,14,10
Shane Battier,Denver Nuggets,W,11/15/2012,32:30,6,7,0.857,6,7,0.857,0,0,,0,3,3,2,1,2,2,3,18,3
Mike Miller,Denver Nuggets,W,11/15/2012,23:45,4,9,0.444,4,8,0.5,0,0,,1,4,5,1,0,0,0,1,12,5
Mario Chalmers,Denver Nuggets,W,11/15/2012,7:13,0,1,0,0,1,0,0,0,,0,0,0,3,1,0,0,1,0,6
LeBron James,Phoenix Suns,W,11/17/2012,40:43,8,20,0.4,1,3,0.333,4,7,0.571,0,7,7,3,2,0,1,1,21,20
Chris Bosh,Phoenix Suns,W,11/17/2012,37:19,9,11,0.818,0,0,,6,9,0.667,0,9,9,3,1,2,5,4,24,9
Shane Battier,Phoenix Suns,W,11/17/2012,33:59,4,8,0.5,4,8,0.5,0,0,,0,2,2,1,0,1,0,2,12,26
Mario Chalmers,Phoenix Suns,W,11/17/2012,31:25,5,7,0.714,1,2,0.5,0,0,,0,2,2,3,3,0,2,4,11,12
Mike Miller,Phoenix Suns,W,11/17/2012,23:44,4,8,0.5,1,3,0.333,0,0,,1,4,5,5,1,0,1,1,9,23
Chris Bosh,Milwaukee Bucks,W,11/21/2012,42:49,9,14,0.643,1,2,0.5,5,6,0.833,3,15,18,1,1,1,5,4,24,8
LeBron James,Milwaukee Bucks,W,11/21/2012,42:32,11,21,0.524,2,4,0.5,4,8,0.5,2,8,10,8,1,1,1,3,28,5
Shane Battier,Milwaukee Bucks,W,11/21/2012,38:06,0,4,0,0,3,0,0,0,,2,5,7,0,0,2,1,1,0,8
Dwyane Wade,Milwaukee Bucks,W,11/21/2012,37:46,11,21,0.524,0,0,,6,8,0.75,1,2,3,4,2,0,2,0,28,6
Mario Chalmers,Milwaukee Bucks,W,11/21/2012,21:58,3,7,0.429,1,2,0.5,2,4,0.5,0,3,3,4,0,0,4,0,9,-2
LeBron James,Cleveland Cavaliers,W,11/24/2012,39:58,10,16,0.625,2,5,0.4,8,9,0.889,1,5,6,5,0,1,7,3,30,7
Chris Bosh,Cleveland Cavaliers,W,11/24/2012,36:43,6,11,0.545,0,0,,11,13,0.846,3,4,7,1,0,1,1,2,23,8
Dwyane Wade,Cleveland Cavaliers,W,11/24/2012,34:15,6,15,0.4,0,0,,6,10,0.6,1,6,7,4,1,2,4,5,18,9
Mario Chalmers,Cleveland Cavaliers,W,11/24/2012,32:31,1,3,0.333,0,1,0,2,2,1,1,3,4,3,3,0,1,2,4,13
Shane Battier,Cleveland Cavaliers,W,11/24/2012,21:07,3,5,0.6,3,5,0.6,0,0,,0,2,2,1,1,0,0,3,9,2
LeBron James,San Antonio Spurs,W,11/29/2012,39:06,9,16,0.563,2,5,0.4,3,6,0.5,3,6,9,7,4,0,4,2,23,-1
Chris Bosh,San Antonio Spurs,W,11/29/2012,36:44,8,14,0.571,0,0,,2,2,1,3,9,12,1,0,1,0,3,18,18
Dwyane Wade,San Antonio Spurs,W,11/29/2012,32:21,7,17,0.412,0,0,,5,5,1,0,5,5,5,1,0,1,1,19,14
Mario Chalmers,San Antonio Spurs,W,11/29/2012,27:03,3,8,0.375,1,2,0.5,1,1,1,0,1,1,4,2,1,1,3,8,12
Rashard Lewis,San Antonio Spurs,W,11/29/2012,20:55,1,1,1,1,1,1,0,0,,0,3,3,1,0,0,1,0,3,-6
LeBron James,Brooklyn Nets,W,12/1/2012,36:57,8,15,0.533,1,2,0.5,4,6,0.667,1,8,9,6,1,0,2,3,21,14
Dwyane Wade,Brooklyn Nets,W,12/1/2012,34:13,14,20,0.7,1,3,0.333,5,6,0.833,1,0,1,7,1,0,0,1,34,12
Chris Bosh,Brooklyn Nets,W,12/1/2012,30:09,2,7,0.286,0,0,,4,4,1,0,2,2,1,0,3,3,2,8,-5
Mario Chalmers,Brooklyn Nets,W,12/1/2012,17:55,3,8,0.375,1,4,0.25,0,0,,1,5,6,1,3,0,3,2,7,-2
Rashard Lewis,Brooklyn Nets,W,12/1/2012,14:07,1,4,0.25,0,3,0,0,0,,0,1,1,0,0,0,0,1,2,-7
LeBron James,Washington Wizards,L,12/4/2012,42:53,12,24,0.5,1,4,0.25,1,3,0.333,2,11,13,11,3,2,3,1,26,-3
Chris Bosh,Washington Wizards,L,12/4/2012,35:36,8,11,0.727,1,2,0.5,3,4,0.75,3,9,12,4,0,0,1,2,20,-4
Dwyane Wade,Washington Wizards,L,12/4/2012,34:14,9,19,0.474,0,1,0,6,7,0.857,1,1,2,3,2,0,1,3,24,-6
Rashard Lewis,Washington Wizards,L,12/4/2012,14:34,0,1,0,0,1,0,0,0,,1,1,2,2,0,0,1,1,0,-5
Mario Chalmers,Washington Wizards,L,12/4/2012,10:09,0,2,0,0,2,0,0,0,,0,0,0,4,1,0,0,2,0,-1
LeBron James,New York Knicks,L,12/6/2012,38:35,11,20,0.55,3,5,0.6,6,9,0.667,2,8,10,9,3,0,2,0,31,-17
Dwyane Wade,New York Knicks,L,12/6/2012,31:43,3,13,0.231,1,2,0.5,6,6,1,0,3,3,1,0,0,4,1,13,-33
Chris Bosh,New York Knicks,L,12/6/2012,29:34,3,12,0.25,0,0,,6,6,1,1,5,6,1,1,2,1,3,12,-21
Udonis Haslem,New York Knicks,L,12/6/2012,21:42,5,6,0.833,0,0,,0,0,,2,5,7,0,0,0,2,0,10,-15
Mario Chalmers,New York Knicks,L,12/6/2012,16:57,2,5,0.4,0,2,0,3,4,0.75,0,2,2,1,0,0,1,4,7,-2
LeBron James,New Orleans Hornets,W,12/8/2012,35:55,11,16,0.688,0,0,,2,3,0.667,1,4,5,7,2,0,4,2,24,10
Chris Bosh,New Orleans Hornets,W,12/8/2012,34:05,4,11,0.364,0,0,,5,6,0.833,1,5,6,2,0,3,2,3,13,6
Dwyane Wade,New Orleans Hornets,W,12/8/2012,32:23,9,12,0.75,0,0,,8,9,0.889,0,2,2,3,1,0,2,1,26,7
Mario Chalmers,New Orleans Hornets,W,12/8/2012,24:19,2,6,0.333,2,3,0.667,0,0,,0,4,4,3,2,0,3,3,6,3
Udonis Haslem,New Orleans Hornets,W,12/8/2012,13:52,1,2,0.5,0,0,,0,0,,0,2,2,1,2,0,0,2,2,-11
LeBron James,Atlanta Hawks,W,12/10/2012,40:21,10,16,0.625,1,2,0.5,6,7,0.857,1,6,7,6,2,0,3,0,27,12
Dwyane Wade,Atlanta Hawks,W,12/10/2012,34:24,11,13,0.846,1,1,1,3,6,0.5,0,4,4,3,0,0,4,4,26,4
Chris Bosh,Atlanta Hawks,W,12/10/2012,32:25,6,11,0.545,0,0,,2,6,0.333,0,10,10,2,1,0,2,2,14,0
Mario Chalmers,Atlanta Hawks,W,12/10/2012,23:52,1,3,0.333,0,2,0,2,2,1,0,0,0,4,2,0,2,1,4,9
Rashard Lewis,Atlanta Hawks,W,12/10/2012,13:54,1,3,0.333,1,3,0.333,0,0,,0,2,2,0,0,0,0,2,3,1
LeBron James,Golden State Warriors,L,12/12/2012,42:21,12,23,0.522,2,4,0.5,5,5,1,1,2,3,5,1,0,4,0,31,-3
Chris Bosh,Golden State Warriors,L,12/12/2012,37:42,9,14,0.643,1,2,0.5,2,4,0.5,3,10,13,1,1,2,2,3,21,-1
Dwyane Wade,Golden State Warriors,L,12/12/2012,29:11,5,11,0.455,0,0,,4,5,0.8,0,4,4,5,3,0,5,2,14,-7
Mario Chalmers,Golden State Warriors,L,12/12/2012,23:54,3,8,0.375,2,4,0.5,0,0,,1,1,2,1,1,0,3,4,8,-6
Udonis Haslem,Golden State Warriors,L,12/12/2012,15:24,1,3,0.333,0,0,,0,0,,1,3,4,0,0,1,0,1,2,-4
Mario Chalmers,Washington Wizards,W,12/15/2012,31:40,4,8,0.5,1,4,0.25,0,0,,0,5,5,3,0,0,3,1,9,32
LeBron James,Washington Wizards,W,12/15/2012,30:33,8,15,0.533,0,3,0,7,11,0.636,0,10,10,5,1,0,2,0,23,36
Dwyane Wade,Washington Wizards,W,12/15/2012,26:29,5,8,0.625,0,0,,3,4,0.75,0,3,3,6,2,0,1,2,13,28
Chris Bosh,Washington Wizards,W,12/15/2012,26:10,5,7,0.714,0,2,0,2,2,1,2,3,5,3,1,0,2,2,12,21
Udonis Haslem,Washington Wizards,W,12/15/2012,23:55,6,7,0.857,0,0,,1,2,0.5,3,4,7,1,2,0,0,2,13,30
LeBron James,Minnesota Timberwolves,W,12/18/2012,41:59,8,18,0.444,2,5,0.4,4,5,0.8,0,6,6,11,1,4,0,0,22,12
Dwyane Wade,Minnesota Timberwolves,W,12/18/2012,27:11,8,14,0.571,0,0,,8,11,0.727,2,1,3,4,2,2,1,2,24,16
Chris Bosh,Minnesota Timberwolves,W,12/18/2012,27:09,6,10,0.6,1,1,1,2,3,0.667,2,1,3,1,1,2,3,3,15,8
Mario Chalmers,Minnesota Timberwolves,W,12/18/2012,22:59,4,7,0.571,4,6,0.667,0,0,,0,0,0,0,3,1,1,2,12,10
Udonis Haslem,Minnesota Timberwolves,W,12/18/2012,18:07,0,2,0,0,0,,0,0,,0,0,0,1,0,0,0,3,0,3
Chris Bosh,Dallas Mavericks,W,12/20/2012,34:44,8,14,0.571,0,1,0,1,1,1,1,6,7,4,3,1,1,3,17,31
LeBron James,Dallas Mavericks,W,12/20/2012,30:55,9,13,0.692,3,5,0.6,3,4,0.75,0,9,9,5,1,1,5,0,24,25
Mario Chalmers,Dallas Mavericks,W,12/20/2012,27:15,1,2,0.5,0,1,0,2,2,1,0,1,1,5,3,1,3,3,4,22
Dwyane Wade,Dallas Mavericks,W,12/20/2012,26:14,7,13,0.538,1,3,0.333,4,4,1,2,3,5,6,0,1,3,1,19,40
Udonis Haslem,Dallas Mavericks,W,12/20/2012,16:44,1,3,0.333,0,0,,3,4,0.75,0,7,7,1,1,0,0,0,5,26
LeBron James,Utah Jazz,W,12/22/2012,37:30,11,20,0.55,1,1,1,7,10,0.7,1,8,9,7,0,0,4,0,30,14
Dwyane Wade,Utah Jazz,W,12/22/2012,34:17,8,14,0.571,0,2,0,5,6,0.833,1,6,7,7,2,0,4,2,21,15
Shane Battier,Utah Jazz,W,12/22/2012,33:58,4,8,0.5,4,8,0.5,3,3,1,0,3,3,1,1,3,0,1,15,28
Udonis Haslem,Utah Jazz,W,12/22/2012,30:26,3,6,0.5,0,0,,0,0,,0,9,9,2,1,1,0,4,6,19
Mario Chalmers,Utah Jazz,W,12/22/2012,26:21,2,5,0.4,1,4,0.25,0,0,,1,1,2,1,1,0,2,1,5,18
LeBron James,Oklahoma City Thunder,W,12/25/2012,41:52,12,20,0.6,0,3,0,5,5,1,3,5,8,9,2,1,3,3,29,13
Dwyane Wade,Oklahoma City Thunder,W,12/25/2012,38:22,8,17,0.471,1,3,0.333,4,4,1,2,3,5,3,0,0,5,3,21,10
Mario Chalmers,Oklahoma City Thunder,W,12/25/2012,37:27,8,14,0.571,4,8,0.5,0,0,,0,3,3,2,1,1,0,3,20,9
Chris Bosh,Oklahoma City Thunder,W,12/25/2012,30:36,6,11,0.545,0,2,0,4,4,1,2,4,6,2,0,0,2,3,16,-1
Udonis Haslem,Oklahoma City Thunder,W,12/25/2012,16:21,1,2,0.5,0,0,,0,0,,0,2,2,0,1,0,0,3,2,0
LeBron James,Charlotte Bobcats,W,12/26/2012,38:35,9,19,0.474,2,4,0.5,7,8,0.875,2,10,12,8,4,2,3,1,27,12
Dwyane Wade,Charlotte Bobcats,W,12/26/2012,36:38,10,19,0.526,1,1,1,8,10,0.8,2,7,9,5,1,1,3,3,29,19
Mario Chalmers,Charlotte Bobcats,W,12/26/2012,34:02,5,10,0.5,4,6,0.667,3,4,0.75,0,1,1,4,2,0,0,2,17,18
Chris Bosh,Charlotte Bobcats,W,12/26/2012,29:33,6,12,0.5,1,1,1,1,3,0.333,2,1,3,1,1,0,4,5,14,6
Udonis Haslem,Charlotte Bobcats,W,12/26/2012,26:41,0,4,0,0,0,,0,0,,1,5,6,0,0,0,1,3,0,22
LeBron James,Detroit Pistons,L,12/28/2012,44:19,15,22,0.682,2,4,0.5,3,4,0.75,1,5,6,5,6,1,3,1,35,-2
Chris Bosh,Detroit Pistons,L,12/28/2012,39:32,11,17,0.647,0,1,0,6,6,1,4,5,9,1,0,3,4,3,28,-8
Mario Chalmers,Detroit Pistons,L,12/28/2012,28:43,1,6,0.167,1,6,0.167,1,2,0.5,1,1,2,4,0,0,1,3,4,2
Mike Miller,Detroit Pistons,L,12/28/2012,23:10,2,6,0.333,1,5,0.2,0,0,,1,3,4,1,0,0,1,2,5,-8
Udonis Haslem,Detroit Pistons,L,12/28/2012,20:29,3,5,0.6,0,0,,1,2,0.5,1,1,2,1,0,1,1,3,7,-3
LeBron James,Milwaukee Bucks,L,12/29/2012,36:29,11,20,0.55,1,2,0.5,3,5,0.6,1,5,6,7,2,1,6,2,26,-8
Dwyane Wade,Milwaukee Bucks,L,12/29/2012,34:49,10,19,0.526,0,0,,4,7,0.571,1,5,6,4,0,0,3,1,24,-13
Chris Bosh,Milwaukee Bucks,L,12/29/2012,34:01,5,14,0.357,0,0,,2,2,1,8,8,16,2,0,0,2,2,12,-23
Shane Battier,Milwaukee Bucks,L,12/29/2012,28:19,1,4,0.25,1,3,0.333,0,0,,1,3,4,0,0,2,0,2,3,-1
Mario Chalmers,Milwaukee Bucks,L,12/29/2012,28:08,1,5,0.2,1,3,0.333,2,4,0.5,0,2,2,3,1,0,2,3,5,-7
LeBron James,Orlando Magic,W,12/31/2012,47:53,10,22,0.455,1,6,0.167,15,16,0.938,1,7,8,11,1,0,3,2,36,4
Dwyane Wade,Orlando Magic,W,12/31/2012,39:52,9,20,0.45,0,2,0,3,10,0.3,2,4,6,3,2,1,3,1,21,-14
Chris Bosh,Orlando Magic,W,12/31/2012,38:19,10,15,0.667,0,0,,2,2,1,1,3,4,1,1,0,0,1,22,-9
Mario Chalmers,Orlando Magic,W,12/31/2012,26:08,1,3,0.333,1,3,0.333,0,0,,0,1,1,4,0,0,0,1,3,-6
Udonis Haslem,Orlando Magic,W,12/31/2012,16:58,1,3,0.333,0,0,,0,0,,0,6,6,0,0,0,0,4,2,1
